Sample_ID,District,Soil_Type,Canal_Access,Soil_pH,Moisture_%,Rainfall_mm,Recommended_Irrigation_Liters
49,Bahawalpur,Clay,Yes,6.54,23.84,87,564.2
50,Bahawalpur,Silty,Yes,6.52,13.56,18,564.3
51,Charsadda,Silty,Yes,8.27,8.76,133,630.0
52,Mardan,Sandy,Yes,7.54,34.41,115,34.3
53,Khairpur,Silty,Yes,7.88,7.95,159,536.7
54,Sukkur,Silty,Yes,5.71,30.56,125,292.5
55,Multan,Sandy,Yes,5.79,24.22,182,120.7
56,Charsadda,Peaty,Yes,7.71,21.35,112,663.9
57,Multan,Silty,Yes,6.28,30.72,41,328.5
58,Mardan,Loamy,Yes,7.38,28.34,121,176.4
59,Swat,Clay,No,7.43,34.78,164,289.1
60,Multan,Silty,Yes,6.76,31.82,167,115.0
61,Charsadda,Sandy,Yes,5.62,6.84,192,297.4
62,DI Khan,Clay,No,7.22,24.6,166,460.2
63,Bahawalpur,Peaty,Yes,7.22,10.97,163,653.7
64,Mardan,Loamy,Yes,8.1,7.91,152,471.1
65,Sukkur,Peaty,Yes,6.42,11.38,61,910.3
66,DI Khan,Clay,No,8.46,18.16,130,817.7
67,Bahawalpur,Silty,Yes,5.65,33.76,35,360.8
68,Bahawalpur,Loamy,Yes,7.91,8.99,38,672.0
69,Khairpur,Silty,Yes,8.16,13.65,132,542.7
70,Swat,Peaty,No,5.85,33.02,127,478.1
71,Swat,Peaty,No,8.23,10.77,122,931.8
72,Sukkur,Loamy,Yes,6.93,33.45,170,32.8
73,Charsadda,Silty,Yes,6.71,33.42,8,309.5
74,Charsadda,Silty,Yes,7.8,17.75,103,518.3
75,Khairpur,Silty,Yes,5.52,12.5,123,498.1
76,Khairpur,Clay,Yes,6.48,34.4,68,392.0
77,DI Khan,Silty,No,8.36,6.3,176,668.7
78,Sukkur,Peaty,Yes,6.44,12.9,17,884.2
79,Sukkur,Clay,Yes,8.13,25.85,69,601.4
80,Sukkur,Loamy,Yes,8.45,10.92,145,443.6
81,Sukkur,Silty,Yes,6.51,25.74,175,214.4
82,DI Khan,Peaty,No,5.63,15.93,55,945.4
83,DI Khan,Sandy,No,7.2,31.6,81,155.7
84,Charsadda,Sandy,Yes,6.8,27.18,169,29.1
85,Multan,Silty,Yes,7.34,33.73,16,284.0
86,Swat,Loamy,No,6.04,33.45,153,165.3
87,Sukkur,Sandy,Yes,7.78,23.1,58,275.2
88,Mardan,Sandy,Yes,7.32,18.36,12,342.7
89,Sukkur,Sandy,Yes,7.88,9.48,68,392.8
90,Bahawalpur,Clay,Yes,5.59,5.79,68,1057.5
91,Multan,Peaty,Yes,6.69,11.84,36,875.4
92,Sukkur,Silty,Yes,8.24,20.83,17,618.5
93,Multan,Sandy,Yes,7.56,23.87,1,299.3
94,Sukkur,Loamy,Yes,8.0,30.96,0,358.4
95,Multan,Clay,Yes,8.45,5.48,4,1098.8
96,Charsadda,Clay,Yes,6.6,22.49,200,379.7
97,Swat,Loamy,No,6.69,28.73,92,272.9
98,Multan,Sandy,Yes,8.45,23.6,116,238.2
99,Charsadda,Clay,Yes,5.86,23.34,132,561.2
100,Charsadda,Silty,Yes,6.12,7.53,175,536.1
101,Mardan,Loamy,Yes,8.34,12.1,149,430.5
102,Mardan,Silty,Yes,6.29,20.52,12,534.9
103,Bahawalpur,Clay,Yes,6.41,18.76,158,555.0
104,Swat,Loamy,No,5.96,18.07,51,524.6
105,Sukkur,Loamy,Yes,5.56,15.04,44,576.8
106,Charsadda,Peaty,Yes,6.51,7.25,148,832.1
107,Mardan,Peaty,Yes,7.9,26.64,191,489.9
108,Charsadda,Loamy,Yes,6.0,24.41,102,324.4
109,Swat,Silty,No,6.82,10.26,83,635.5
110,Sukkur,Silty,Yes,5.5,33.89,25,386.0
111,Khairpur,Peaty,Yes,7.42,20.18,189,456.6
112,Mardan,Loamy,Yes,7.92,22.89,14,459.1
113,Khairpur,Loamy,Yes,8.12,31.64,49,298.7
114,Multan,Clay,Yes,7.94,18.69,147,705.9
115,Charsadda,Peaty,Yes,5.68,11.2,190,748.5
116,Multan,Sandy,Yes,6.61,33.35,135,30.5
117,Swat,Peaty,No,5.78,34.03,159,439.7
118,Sukkur,Silty,Yes,6.03,21.81,30,489.4
119,Mardan,Clay,Yes,6.79,7.68,114,871.6
120,Khairpur,Loamy,Yes,6.1,14.96,192,342.6
121,DI Khan,Sandy,No,6.94,12.89,49,399.1
122,Mardan,Peaty,Yes,7.22,24.11,136,474.1
123,Mardan,Sandy,Yes,5.71,26.41,57,294.7
124,Swat,Silty,No,5.53,16.36,166,483.7
125,Mardan,Silty,Yes,8.19,28.43,71,396.3
126,Swat,Loamy,No,7.26,18.03,166,362.7
127,Khairpur,Sandy,Yes,7.52,19.89,21,305.3
128,Multan,Silty,Yes,5.86,8.01,66,687.8
129,Multan,Peaty,Yes,8.14,20.92,100,696.2
130,Khairpur,Sandy,Yes,5.96,25.4,131,152.1
131,Khairpur,Peaty,Yes,6.01,29.5,199,349.6
132,DI Khan,Silty,No,7.59,31.08,42,388.6
133,Swat,Peaty,No,8.05,10.05,172,785.3
134,Sukkur,Clay,Yes,7.03,34.78,194,149.6
135,Mardan,Loamy,Yes,7.29,30.84,39,235.2
136,Sukkur,Silty,Yes,7.44,28.59,17,424.5
137,DI Khan,Silty,No,6.62,32.3,133,210.8
138,Sukkur,Sandy,Yes,7.64,14.8,15,392.1
139,Bahawalpur,Silty,Yes,6.99,16.12,162,363.1
140,Mardan,Sandy,Yes,6.12,31.01,62,164.2
141,Multan,Loamy,Yes,7.6,13.82,150,381.8
142,Charsadda,Sandy,Yes,6.04,25.84,198,55.0
143,Bahawalpur,Silty,Yes,8.01,29.68,0,403.0
144,Sukkur,Silty,Yes,8.25,26.25,135,337.2
145,DI Khan,Peaty,No,6.27,34.08,52,554.0
146,Sukkur,Peaty,Yes,8.17,6.37,31,1102.6
147,Multan,Clay,Yes,6.7,16.15,34,709.5
148,Bahawalpur,Sandy,Yes,6.9,8.48,124,246.9
149,Swat,Peaty,No,6.22,26.98,66,678.8
150,Sukkur,Silty,Yes,7.84,29.0,69,351.1
151,DI Khan,Loamy,No,6.84,14.37,141,407.5
152,Charsadda,Clay,Yes,6.72,27.83,39,534.9
153,Bahawalpur,Clay,Yes,7.55,23.8,195,393.8
154,Mardan,Peaty,Yes,8.06,20.03,182,594.2
155,DI Khan,Clay,No,6.6,9.62,160,803.5
156,Swat,Silty,No,6.96,21.42,128,355.7
157,Charsadda,Sandy,Yes,8.22,10.92,42,508.0
158,Sukkur,Silty,Yes,6.93,28.84,49,315.0
159,DI Khan,Peaty,No,6.64,26.51,179,437.0
160,DI Khan,Sandy,No,7.17,20.58,122,212.2
161,Khairpur,Loamy,Yes,6.99,27.14,99,183.8
162,Multan,Sandy,Yes,7.67,30.69,152,37.6
163,Swat,Clay,No,7.83,16.8,132,774.2
164,Sukkur,Silty,Yes,5.53,28.6,155,273.5
165,Sukkur,Sandy,Yes,6.74,13.05,167,182.0
166,Khairpur,Sandy,Yes,5.64,15.72,19,460.0
167,Multan,Peaty,Yes,7.37,8.52,125,850.9
168,Khairpur,Peaty,Yes,8.12,30.46,121,544.8
169,Bahawalpur,Peaty,Yes,8.3,7.1,179,832.2
170,Charsadda,Loamy,Yes,6.13,19.75,177,261.8
171,Mardan,Peaty,Yes,6.83,12.14,81,747.3
172,Mardan,Silty,Yes,7.15,29.18,67,269.0
173,Mardan,Loamy,Yes,8.1,5.3,61,671.0
174,Khairpur,Clay,Yes,8.17,8.09,83,956.5
175,Sukkur,Peaty,Yes,6.01,26.27,41,675.9
176,Swat,Clay,No,6.67,9.18,146,852.0
177,Bahawalpur,Loamy,Yes,5.94,29.15,22,367.6
178,Mardan,Clay,Yes,7.82,23.67,158,531.9
179,DI Khan,Sandy,No,8.01,23.21,79,306.1
180,Swat,Peaty,No,6.59,25.93,71,740.7
181,Charsadda,Clay,Yes,7.04,19.84,184,476.4
182,Multan,Sandy,Yes,6.75,24.03,46,208.5
183,Mardan,Silty,Yes,8.33,13.47,0,687.0
184,Bahawalpur,Clay,Yes,6.99,27.02,71,484.7
185,Charsadda,Silty,Yes,7.18,7.97,162,485.3
186,Charsadda,Sandy,Yes,7.09,28.16,102,85.0
187,Bahawalpur,Sandy,Yes,5.58,7.82,13,565.2
188,DI Khan,Loamy,No,6.22,31.16,28,362.0
189,Khairpur,Silty,Yes,5.96,9.64,104,592.1
190,Bahawalpur,Silty,Yes,7.71,12.12,16,616.0
191,Charsadda,Clay,Yes,6.7,14.66,121,656.3
192,Mardan,Clay,Yes,6.48,8.16,154,818.0
193,Swat,Peaty,No,6.61,12.07,162,766.8
194,Charsadda,Loamy,Yes,8.06,6.45,100,553.9
195,Khairpur,Loamy,Yes,6.72,12.7,153,364.2
196,Mardan,Silty,Yes,7.47,29.57,65,315.3
197,Bahawalpur,Loamy,Yes,7.94,29.68,6,351.3
198,Swat,Silty,No,7.99,17.88,28,659.9
199,Multan,Clay,Yes,5.66,30.41,116,461.6
200,DI Khan,Clay,No,8.09,28.46,171,428.0
201,Swat,Peaty,No,8.38,9.12,42,1090.2
202,Bahawalpur,Silty,Yes,5.5,16.87,91,586.8
203,Charsadda,Peaty,Yes,7.39,10.98,5,997.3
204,Sukkur,Silty,Yes,5.69,30.68,71,380.2
205,Sukkur,Sandy,Yes,7.64,5.48,74,385.0
206,Bahawalpur,Silty,Yes,7.54,13.06,85,519.7
207,Sukkur,Peaty,Yes,7.97,34.85,181,322.3
208,DI Khan,Peaty,No,7.76,34.51,9,619.1
209,Charsadda,Clay,Yes,7.47,22.13,100,587.3
210,Charsadda,Loamy,Yes,8.0,9.61,119,639.3
211,Mardan,Silty,Yes,6.5,25.37,119,312.8
212,DI Khan,Silty,No,6.58,11.93,12,769.2
213,Bahawalpur,Peaty,Yes,6.93,5.22,182,807.2
214,Sukkur,Sandy,Yes,8.02,7.47,65,462.0
215,Charsadda,Peaty,Yes,6.6,27.32,130,459.4
216,Mardan,Peaty,Yes,8.05,30.18,62,596.4
217,Swat,Sandy,No,8.13,25.56,25,354.3
218,Khairpur,Clay,Yes,6.76,7.36,105,825.5
219,Khairpur,Clay,Yes,5.6,17.24,65,776.9
220,Mardan,Sandy,Yes,6.64,11.08,31,395.1
221,Swat,Sandy,No,6.15,8.07,185,358.4
222,Bahawalpur,Clay,Yes,6.99,16.29,43,643.7
223,Khairpur,Loamy,Yes,7.75,9.93,67,588.0
224,DI Khan,Sandy,No,7.79,23.48,93,242.6
225,Khairpur,Silty,Yes,8.15,23.47,34,495.9
226,DI Khan,Peaty,No,6.11,22.27,111,734.9
227,Charsadda,Clay,Yes,7.79,27.19,64,549.8
228,Swat,Loamy,No,8.02,34.93,141,159.4
229,Swat,Clay,No,8.11,16.79,56,819.0
230,Mardan,Clay,Yes,6.69,6.52,7,1038.4
231,Bahawalpur,Peaty,Yes,5.52,8.48,56,964.0
232,Swat,Sandy,No,5.84,25.29,136,224.7
233,Multan,Clay,Yes,8.44,31.13,33,572.4
234,Multan,Peaty,Yes,7.63,30.92,168,356.4
235,Khairpur,Sandy,Yes,7.11,21.86,12,314.5
236,Khairpur,Peaty,Yes,8.48,34.61,52,564.1
237,Mardan,Peaty,Yes,7.74,28.15,129,426.3
238,Multan,Loamy,Yes,8.14,14.25,140,437.7
239,Mardan,Silty,Yes,7.59,24.65,47,406.1
240,Khairpur,Peaty,Yes,5.72,9.94,134,898.4
241,Sukkur,Peaty,Yes,8.16,9.55,84,877.1
242,Charsadda,Sandy,Yes,8.36,9.41,106,393.8
243,Bahawalpur,Silty,Yes,7.2,10.08,78,595.0
244,Sukkur,Loamy,Yes,6.28,31.77,128,156.8
245,Multan,Clay,Yes,7.95,20.73,68,636.3
246,Mardan,Sandy,Yes,8.1,5.88,72,450.3
247,Bahawalpur,Loamy,Yes,7.29,22.16,200,149.3
248,Khairpur,Loamy,Yes,6.96,22.19,174,160.6
249,Bahawalpur,Peaty,Yes,8.37,17.29,83,886.8
250,Sukkur,Loamy,Yes,7.09,33.95,41,185.9
251,Mardan,Clay,Yes,6.14,12.45,17,845.4
252,Charsadda,Peaty,Yes,6.0,11.76,126,852.4
253,Sukkur,Loamy,Yes,7.78,27.04,61,359.8
254,Charsadda,Loamy,Yes,6.92,19.1,94,349.5
255,Bahawalpur,Clay,Yes,6.18,8.8,10,903.2
256,Khairpur,Loamy,Yes,6.53,10.58,195,340.4
257,Bahawalpur,Clay,Yes,5.89,25.5,197,456.3
258,Mardan,Loamy,Yes,8.29,13.9,60,539.7
259,Bahawalpur,Clay,Yes,7.86,17.9,182,589.9
260,Charsadda,Peaty,Yes,6.87,34.18,115,357.3
261,Multan,Sandy,Yes,7.32,6.49,91,336.2
262,Charsadda,Loamy,Yes,6.09,31.1,184,97.5
263,Swat,Sandy,No,7.5,30.85,156,59.0
264,DI Khan,Peaty,No,6.87,19.92,119,612.4
265,Swat,Sandy,No,7.47,34.19,167,29.5
266,DI Khan,Clay,No,8.22,20.54,55,732.7
267,Charsadda,Sandy,Yes,5.69,17.92,92,349.1
268,Bahawalpur,Loamy,Yes,7.51,26.24,30,320.2
269,Sukkur,Clay,Yes,7.81,17.45,136,626.5
270,Sukkur,Sandy,Yes,7.51,11.06,20,425.6
271,Swat,Loamy,No,7.39,8.25,166,520.4
272,Multan,Peaty,Yes,6.21,30.57,23,543.4
273,Mardan,Sandy,Yes,6.94,25.39,56,185.8
274,Bahawalpur,Silty,Yes,6.43,5.9,117,623.5
275,Swat,Peaty,No,7.5,26.36,97,565.3
276,Sukkur,Sandy,Yes,7.32,11.44,151,223.6
277,Swat,Sandy,No,6.8,27.93,23,267.7
278,Mardan,Sandy,Yes,8.08,20.89,182,133.6
279,Swat,Loamy,No,7.07,15.93,78,460.1
280,DI Khan,Peaty,No,7.03,21.26,31,725.5
281,Bahawalpur,Loamy,Yes,7.23,9.45,59,540.0
282,Sukkur,Clay,Yes,5.59,30.68,37,594.2
283,DI Khan,Loamy,No,8.24,10.44,143,607.6
284,Khairpur,Peaty,Yes,7.31,11.89,120,696.0
285,Swat,Clay,No,7.02,9.25,45,1042.0
286,Charsadda,Sandy,Yes,8.34,32.81,13,236.2
287,Mardan,Loamy,Yes,8.33,5.11,102,634.4
288,Multan,Loamy,Yes,6.24,24.89,13,431.6
289,DI Khan,Silty,No,7.64,21.17,10,604.9
290,Khairpur,Sandy,Yes,6.73,5.66,80,362.0
291,Sukkur,Clay,Yes,8.1,5.8,102,938.3
292,Charsadda,Loamy,Yes,7.5,15.01,112,391.1
293,Khairpur,Clay,Yes,6.2,19.9,86,640.1
294,Mardan,Silty,Yes,6.72,28.83,142,205.1
295,Bahawalpur,Sandy,Yes,6.7,24.97,196,30.6
296,Khairpur,Clay,Yes,6.14,11.09,19,900.0
297,Sukkur,Sandy,Yes,7.46,9.68,48,415.0
298,Sukkur,Clay,Yes,6.57,34.5,101,323.2
299,Sukkur,Peaty,Yes,6.61,14.04,178,670.4
300,Multan,Peaty,Yes,6.4,11.77,180,722.4
301,Bahawalpur,Peaty,Yes,6.85,14.26,167,597.7
302,Charsadda,Peaty,Yes,7.6,34.15,90,405.2
303,DI Khan,Silty,No,7.41,30.77,198,164.4
304,Multan,Peaty,Yes,6.41,19.4,150,621.9
305,Multan,Peaty,Yes,6.82,27.58,180,373.3
306,Khairpur,Loamy,Yes,7.39,33.62,193,30.2
307,Sukkur,Silty,Yes,8.32,26.68,31,515.2
308,Charsadda,Sandy,Yes,8.32,7.23,112,394.0
309,Khairpur,Clay,Yes,6.47,30.83,173,308.7
310,Mardan,Peaty,Yes,5.75,15.54,125,754.5
311,DI Khan,Peaty,No,7.84,22.52,76,720.3
312,Multan,Loamy,Yes,7.94,19.88,186,283.5
313,Bahawalpur,Clay,Yes,7.99,21.03,8,805.3
314,Charsadda,Loamy,Yes,8.16,10.84,16,691.6
315,Mardan,Clay,Yes,6.68,33.25,109,346.4
316,Swat,Sandy,No,6.78,23.15,195,78.2
317,Khairpur,Silty,Yes,6.85,32.81,127,146.5
318,Bahawalpur,Silty,Yes,7.9,28.89,135,254.9
319,DI Khan,Loamy,No,7.47,11.62,128,498.3
320,DI Khan,Clay,No,5.94,33.19,87,476.1
321,DI Khan,Clay,No,7.58,25.08,87,602.3
322,Charsadda,Silty,Yes,6.0,12.08,175,498.9
323,Sukkur,Sandy,Yes,7.41,20.24,15,303.6
324,Mardan,Silty,Yes,5.76,19.62,80,580.4
325,Sukkur,Sandy,Yes,7.09,13.07,60,287.8
326,Charsadda,Clay,Yes,7.19,26.48,54,483.9
327,Charsadda,Sandy,Yes,8.44,9.3,78,475.0
328,Multan,Clay,Yes,6.04,15.6,134,729.9
329,Mardan,Silty,Yes,8.3,10.12,33,766.5
330,Khairpur,Clay,Yes,5.58,13.21,32,963.8
331,Swat,Silty,No,7.66,5.79,93,726.0
332,Khairpur,Loamy,Yes,7.44,17.19,31,452.6
333,Charsadda,Silty,Yes,6.8,31.36,192,77.8
334,Multan,Silty,Yes,5.55,22.74,20,545.6
335,Mardan,Clay,Yes,8.21,13.37,2,1004.2
336,Sukkur,Silty,Yes,5.79,11.34,60,667.5
337,Bahawalpur,Sandy,Yes,6.49,13.4,86,289.0
338,Swat,Clay,No,8.3,30.03,10,659.4
339,DI Khan,Loamy,No,6.6,19.95,117,382.2
340,Khairpur,Loamy,Yes,5.6,5.81,80,644.3
341,Multan,Sandy,Yes,5.8,24.06,180,111.6
342,Multan,Clay,Yes,5.72,28.01,75,568.2
343,Charsadda,Clay,Yes,6.77,12.0,175,655.2
344,Swat,Clay,No,6.99,15.43,45,775.0
345,Khairpur,Loamy,Yes,6.76,11.17,131,399.0
346,DI Khan,Silty,No,8.0,32.36,68,372.2
347,Khairpur,Peaty,Yes,8.31,19.51,196,546.3
348,Multan,Loamy,Yes,7.51,32.62,152,76.7
349,Mardan,Clay,Yes,7.7,7.64,56,901.2
350,Sukkur,Sandy,Yes,7.11,29.59,23,175.9
351,Mardan,Silty,Yes,5.83,6.76,144,637.2
352,Sukkur,Silty,Yes,8.41,33.86,187,166.9
353,Bahawalpur,Clay,Yes,8.12,15.18,166,709.5
354,Swat,Clay,No,6.58,21.89,39,708.5
355,Charsadda,Loamy,Yes,6.86,11.87,143,373.9
356,Sukkur,Peaty,Yes,8.48,24.71,52,678.2
357,Charsadda,Sandy,Yes,6.8,24.64,88,149.6
358,DI Khan,Peaty,No,8.28,25.87,99,665.2
359,Khairpur,Silty,Yes,6.55,23.6,106,351.2
360,Multan,Sandy,Yes,5.93,24.99,176,96.0
361,Bahawalpur,Loamy,Yes,7.36,24.4,34,370.0
362,Mardan,Peaty,Yes,8.13,8.62,91,1010.2
363,Bahawalpur,Sandy,Yes,8.3,33.94,91,141.3
364,Swat,Loamy,No,5.6,9.63,183,538.0
365,DI Khan,Clay,No,8.2,6.8,56,1107.6
366,Swat,Loamy,No,8.17,13.04,89,571.0
367,Multan,Sandy,Yes,5.61,19.34,166,208.7
368,Multan,Clay,Yes,7.31,18.3,15,751.5
369,Multan,Sandy,Yes,6.12,23.01,107,203.5
370,Sukkur,Loamy,Yes,8.27,5.05,182,499.5
371,Sukkur,Peaty,Yes,6.87,15.07,37,795.8
372,Bahawalpur,Clay,Yes,8.48,7.33,166,890.0
373,Swat,Clay,No,7.7,16.05,52,912.3
374,Sukkur,Sandy,Yes,6.51,19.8,115,202.3
375,Bahawalpur,Peaty,Yes,5.81,29.22,167,511.9
376,Multan,Clay,Yes,6.64,33.68,13,429.9
377,Khairpur,Clay,Yes,8.44,13.73,157,784.2
378,Khairpur,Loamy,Yes,8.49,10.39,110,570.5
379,Swat,Loamy,No,7.1,29.23,44,349.5
380,Multan,Silty,Yes,7.07,15.08,122,403.6
381,DI Khan,Loamy,No,6.73,32.21,155,117.9
382,DI Khan,Sandy,No,8.26,22.85,90,310.5
383,Charsadda,Clay,Yes,8.28,9.23,80,810.3
384,Sukkur,Clay,Yes,7.75,24.78,10,646.8
385,DI Khan,Silty,No,5.8,28.18,30,482.1
386,Swat,Loamy,No,6.96,27.46,117,230.0
387,Mardan,Silty,Yes,8.31,6.17,48,798.0
388,DI Khan,Sandy,No,7.25,13.23,1,513.5
389,Bahawalpur,Loamy,Yes,6.17,22.94,101,348.0
390,Khairpur,Sandy,Yes,6.61,23.48,49,226.1
391,Multan,Silty,Yes,6.19,10.96,74,590.3
392,DI Khan,Peaty,No,6.08,12.25,177,803.5
393,Sukkur,Silty,Yes,7.47,5.54,14,703.5
394,Charsadda,Loamy,Yes,7.11,30.47,35,270.6
395,Khairpur,Silty,Yes,7.23,25.72,60,380.3
396,Multan,Clay,Yes,8.37,29.47,128,451.6
397,DI Khan,Sandy,No,5.61,31.12,92,215.3
398,Swat,Peaty,No,8.16,8.93,136,993.9
399,Khairpur,Peaty,Yes,8.39,26.45,144,549.6
400,Multan,Peaty,Yes,5.94,7.35,145,930.4
401,Mardan,Silty,Yes,6.16,12.42,175,417.7
402,Swat,Loamy,No,6.81,18.96,194,251.7
403,Swat,Silty,No,6.73,11.8,107,575.9
404,Sukkur,Loamy,Yes,7.48,16.58,97,399.8
405,Swat,Sandy,No,6.6,8.43,23,483.6
406,Sukkur,Peaty,Yes,6.7,25.4,45,635.7
407,Multan,Silty,Yes,5.67,16.51,192,390.0
408,Swat,Peaty,No,8.01,5.57,177,901.1
409,Sukkur,Peaty,Yes,5.94,6.24,37,1044.8
410,Bahawalpur,Silty,Yes,5.8,31.2,128,267.6
411,Bahawalpur,Sandy,Yes,8.41,17.78,32,430.1
412,Charsadda,Peaty,Yes,8.18,32.91,91,459.2
413,Sukkur,Peaty,Yes,7.6,5.76,165,749.4
414,Charsadda,Loamy,Yes,8.15,24.28,144,299.0
415,DI Khan,Silty,No,7.83,10.26,139,618.0
416,Swat,Sandy,No,6.73,14.63,21,401.1
417,Khairpur,Loamy,Yes,7.72,30.26,10,368.3
418,Khairpur,Loamy,Yes,7.21,20.05,190,193.5
419,Swat,Sandy,No,8.47,25.74,163,221.6
420,Charsadda,Silty,Yes,6.1,34.55,26,323.1
421,Khairpur,Silty,Yes,6.92,22.46,171,267.9
422,Khairpur,Silty,Yes,6.53,28.46,61,366.5
423,Mardan,Silty,Yes,8.09,24.34,57,452.0
424,Swat,Peaty,No,7.71,26.4,138,594.2
425,Mardan,Loamy,Yes,8.44,28.7,139,254.0
426,DI Khan,Clay,No,5.54,34.72,51,579.6
427,Multan,Silty,Yes,6.9,15.99,59,471.6
428,Khairpur,Clay,Yes,7.51,10.01,169,748.7
429,DI Khan,Sandy,No,8.07,32.59,78,228.2
430,Swat,Loamy,No,8.08,6.27,155,524.3
431,DI Khan,Loamy,No,7.26,8.15,71,559.0
432,Khairpur,Peaty,Yes,8.13,5.78,146,789.2
433,Khairpur,Sandy,Yes,6.33,20.02,114,203.1
434,Charsadda,Sandy,Yes,7.74,18.89,74,293.3
435,Bahawalpur,Loamy,Yes,6.51,32.39,42,261.0
436,Multan,Loamy,Yes,7.91,25.85,125,260.3
437,Bahawalpur,Clay,Yes,7.93,13.19,151,788.7
438,Multan,Silty,Yes,7.8,15.04,192,360.1
439,Swat,Peaty,No,7.06,30.34,145,379.1
440,Sukkur,Loamy,Yes,5.66,17.81,22,560.8
441,Swat,Loamy,No,7.47,32.0,143,165.8
442,Multan,Clay,Yes,6.87,9.52,77,821.9
443,DI Khan,Silty,No,5.85,29.12,81,362.8
444,Swat,Silty,No,5.54,14.78,175,537.0
445,Khairpur,Sandy,Yes,7.35,31.84,78,90.4
446,DI Khan,Peaty,No,7.04,7.14,72,978.1
447,Bahawalpur,Silty,Yes,6.15,26.91,37,433.5
448,Swat,Loamy,No,5.54,34.93,189,134.8
449,Multan,Loamy,Yes,6.31,5.89,19,666.0
450,Multan,Sandy,Yes,6.05,6.75,95,378.6
451,Charsadda,Silty,Yes,6.28,26.7,178,217.6
452,Sukkur,Silty,Yes,5.85,10.25,86,686.3
453,Charsadda,Silty,Yes,7.94,14.58,143,452.7
454,Khairpur,Loamy,Yes,6.03,34.99,89,183.2
455,Mardan,Peaty,Yes,7.4,18.89,159,560.9
456,DI Khan,Sandy,No,5.7,22.31,39,383.8
457,Swat,Clay,No,7.68,34.41,186,280.8
458,Charsadda,Loamy,Yes,7.74,27.01,57,301.7
459,Bahawalpur,Sandy,Yes,6.06,26.39,111,159.4
460,Multan,Silty,Yes,6.76,29.69,184,110.4
461,Multan,Sandy,Yes,7.66,18.67,43,357.5
462,Bahawalpur,Silty,Yes,5.7,19.15,80,529.7
463,Swat,Sandy,No,6.57,24.73,0,337.9
464,Swat,Sandy,No,6.46,13.83,71,388.0
465,Bahawalpur,Peaty,Yes,8.14,6.45,126,909.9
466,Khairpur,Clay,Yes,6.53,15.94,115,663.6
467,Charsadda,Sandy,Yes,8.2,15.81,200,186.7
